"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 26 08:40:27 UTC 2026","Thu Mar 26 08:40:28 UTC 2026","894","","com.example.tests.pet.DeletePetTest","","com.example.tests.pet.DeletePetTest","testDeletePet","testDeletePet",""
"passed","Thu Mar 26 08:40:23 UTC 2026","Thu Mar 26 08:40:24 UTC 2026","1250","","com.example.tests.user.LoginLogoutTest","","com.example.tests.user.LoginLogoutTest","testLoginAndLogout","testLoginAndLogout",""
"passed","Thu Mar 26 08:40:26 UTC 2026","Thu Mar 26 08:40:26 UTC 2026","24","","com.example.tests.UserRepositoryTest","","com.example.tests.UserRepositoryTest","testFindNonExistentUser","testFindNonExistentUser",""
"passed","Thu Mar 26 08:40:25 UTC 2026","Thu Mar 26 08:40:26 UTC 2026","1226","","com.example.tests.user.UpdateUserTest","","com.example.tests.user.UpdateUserTest","testUpdateUser","testUpdateUser",""
"passed","Thu Mar 26 08:40:30 UTC 2026","Thu Mar 26 08:40:31 UTC 2026","1210","","com.example.tests.store.DeleteOrderTest","","com.example.tests.store.DeleteOrderTest","testDeleteOrder","testDeleteOrder",""
"passed","Thu Mar 26 08:40:21 UTC 2026","Thu Mar 26 08:40:22 UTC 2026","944","","com.example.tests.user.DeleteUserTest","","com.example.tests.user.DeleteUserTest","testDeleteUser","testDeleteUser",""
"broken","Thu Mar 26 08:40:19 UTC 2026","Thu Mar 26 08:40:24 UTC 2026","5832","","com.example.tests.LoginTest","","com.example.tests.LoginTest","testSuccessfulLogin","testSuccessfulLogin",""
"broken","Thu Mar 26 08:40:19 UTC 2026","Thu Mar 26 08:40:24 UTC 2026","5832","","com.example.tests.LoginTest","","com.example.tests.LoginTest","testInvalidLogin","testInvalidLogin",""
"passed","Thu Mar 26 08:40:32 UTC 2026","Thu Mar 26 08:40:32 UTC 2026","308","","com.example.tests.store.GetInventoryTest","","com.example.tests.store.GetInventoryTest","testGetInventory","testGetInventory",""
"passed","Thu Mar 26 08:40:20 UTC 2026","Thu Mar 26 08:40:20 UTC 2026","4","","com.example.service.OrderServiceTest","","com.example.service.OrderServiceTest","testCreateOrder_productNotInStock","testCreateOrder_productNotInStock",""
